,access,bridge,geometry,highway,junction,key,lanes,length,maxspeed,name,oneway,osmid,ref,service,tunnel,u,v,width,poi,crime,poi_std,crime_std,trees,greenness_std
0,,,"LINESTRING (698656.6596445704 5712175.623246982, 698687.0832313927 5712183.429224756)",trunk,,0,2,31.31,30 mph,Euston Road,False,279154270,A501,,,674922554,1953475318,,0,0,0.0,0.0,2,0.13671734635424115
1,,,"LINESTRING (698656.6596445704 5712175.623246982, 698634.5721010731 5712207.173114847)",unclassified,,0,,38.459,20 mph,North Gower Street,False,542832662,,,,674922554,25508738,,0,0,0.0,0.0,1,0.0815676970732868
2,,,"LINESTRING (698656.6596445704 5712175.623246982, 698629.9358488722 5712166.459069756, 698621.4551770524 5712163.254077365, 698581.7467716173 5712145.809307035, 698542.2451129998 5712126.802881477, 698538.5773606469 5712125.033571671)",trunk,,0,2,128.22299999999998,30 mph,Euston Road,False,"[279154266, 279154267, 279154270]",A501,,,674922554,2833956947,,0,0,0.0,0.0,6,0.1731131340094671
3,,,"LINESTRING (699246.1006187367 5712864.037729509, 699239.6029957718 5712860.954057109)",footway,,0,,7.172,,,False,438323373,,,,4360568911,3310091781,,0,0,0.0,0.0,0,0.0
4,,,"LINESTRING (699246.1006187367 5712864.037729509, 699249.6189714967 5712865.701513221, 699278.9905405171 5712880.362845587)",footway,,0,,36.616,,,False,"[438323373, 136023975]",,,building_passage,4360568911,598157050,,0,0,0.0,0.0,0,0.0
5,no,,"LINESTRING (699246.1006187367 5712864.037729509, 699274.0549770934 5712793.869518247, 699276.0236519862 5712790.78442033, 699279.605897021 5712779.511393119, 699279.5018448356 5712775.442882076, 699282.3931996217 5712765.668258325)",service,,0,2,105.186,10 mph,,False,"[673447480, 681764418, 681764415]",,taxi,,4360568911,4360568917,,0,27,0.0,0.1558890412361988,0,0.0
6,,,"LINESTRING (699271.451181864 5712777.943799055, 699275.1857630226 5712767.389420588, 699277.1036778295 5712761.707779103, 699280.4825317982 5712752.252965878)",tertiary,,0,2,27.208,20 mph,Midland Road,False,286754715,,,,4360568913,6309368994,,0,0,0.0,0.0,0,0.0
7,,,"LINESTRING (699271.451181864 5712777.943799055, 699256.4540794455 5712817.241548117, 699247.5603156961 5712840.142832259, 699246.7483751307 5712842.070762526)",tertiary,,0,"['2', '1']",68.65800000000002,20 mph,Midland Road,False,"[687471330, 286754715]",,,,4360568913,4680514033,,0,27,0.0,0.17137637145976667,0,0.0
8,,,"LINESTRING (699271.451181864 5712777.943799055, 699267.5729902699 5712776.421760757, 699259.4599282529 5712776.091852616, 699254.3642965473 5712777.272434901)",service,,0,,17.462,,,False,676588441,,,,4360568913,6335829402,,0,0,0.0,0.0,0,0.0
9,,,"LINESTRING (698077.5073137865 5712473.913838007, 698078.1251842066 5712464.495293866)",primary,,0,,9.433,20 mph,Albany Street,False,26785612,A4201,,,294158420,265111477,,0,0,0.0,0.0,2,0.2026224254050164
